2011/12/22	10:17:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:18:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:19:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:20:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:21:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:22:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:23:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:24:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:25:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:26:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:27:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:28:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:29:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:30:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:31:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:32:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:33:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:34:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:35:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:36:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:37:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:38:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:39:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:40:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:41:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:42:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:43:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:44:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:45:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:46:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:47:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:48:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:49:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:50:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:51:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:52:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:53:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:54:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:55:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:56:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:57:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:58:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	10:59:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:00:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:01:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:02:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:03:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:04:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:05:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:06:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:07:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:08:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:09:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:10:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:11:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:12:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:13:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:14:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:15:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:16:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:17:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:18:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:19:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:20:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:21:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:22:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:23:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:24:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:25:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:26:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:27:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:28:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:29:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:30:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:31:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:32:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:33:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:34:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:35:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:36:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:37:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:38:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:39:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:40:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:41:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:42:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:43:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:44:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:45:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:46:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:47:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:48:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:49:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:50:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:51:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:52:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:53:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:54:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:55:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:56:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:57:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:58:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	11:59:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:00:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:01:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:02:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:03:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:04:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:05:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:06:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:07:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:08:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:09:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:10:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:11:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:12:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:13:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:14:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:15:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:16:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:17:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:18:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:19:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:20:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:21:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:22:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:23:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:24:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:25:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:26:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:27:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:28:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:29:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:30:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:31:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:32:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:33:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:34:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:35:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:36:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:37:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:38:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:39:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:40:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:41:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:42:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:43:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:44:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:45:00	0.41	0.41	0.41	0.41	4.00
2011/12/22	12:46:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:47:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:48:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:49:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:50:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:51:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:52:00	0.41	0.41	0.41	0.41	0.00
2011/12/22	12:53:00	0.41	0.41	0.41	0.41	2.00
2011/12/26	11:28:00	0.26	0.26	0.26	0.26	2.00
2011/12/27	09:16:00	0.34	0.34	0.34	0.34	2.00
2011/12/28	12:23:00	0.22	0.22	0.22	0.22	2.00
2012/01/02	11:23:00	0.37	0.37	0.37	0.37	4.00
2012/01/04	12:12:00	0.20	0.20	0.20	0.20	2.00
2012/01/05	12:23:00	0.16	0.16	0.16	0.16	2.00
2012/01/06	12:04:00	0.14	0.14	0.14	0.14	2.00
2012/01/11	12:26:00	0.05	0.05	0.05	0.05	6.00
