2012/08/24	11:43:00	0.03	0.03	0.03	0.03	6.00
2012/08/28	13:06:00	0.03	0.03	0.03	0.03	2.00
2012/09/04	09:49:00	0.03	0.03	0.03	0.03	10.00
2012/09/05	09:10:00	0.03	0.03	0.03	0.03	10.00
2012/09/06	09:06:00	0.03	0.03	0.03	0.03	10.00
2012/09/06	09:07:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:08:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:09:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:10:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:11:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:12:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:13:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:14:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:15:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:16:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:17:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:18:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:19:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:20:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:21:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:22:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:23:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:24:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:25:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:26:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:27:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:28:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:29:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:30:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:31:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:32:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:33:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:34:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:35:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:36:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:37:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:38:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:39:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:40:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:41:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:42:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:43:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:44:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:45:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:46:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:47:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:48:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:49:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:50:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:51:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:52:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:53:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:54:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:55:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:56:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:57:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:58:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	09:59:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	10:00:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	10:01:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	10:02:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	10:03:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	10:04:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	10:05:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	10:06:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	10:07:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	10:08:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	10:09:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	10:10:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	10:11:00	0.03	0.03	0.03	0.03	0.00
2012/09/06	10:12:00	0.03	0.03	0.03	0.03	0.00
