2012/06/15	10:03:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:04:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:05:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:06:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:07:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:08:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:09:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:10:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:11:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:12:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:13:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:14:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:15:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:16:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:17:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:18:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:19:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:20:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:21:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:22:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:23:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:24:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:25:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:26:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:27:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:28:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:29:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:30:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:31:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:32:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:33:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:34:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:35:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:36:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:37:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:38:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:39:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:40:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:41:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:42:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:43:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:44:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:45:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:46:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:47:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:48:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:49:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:50:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:51:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:52:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:53:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:54:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:55:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:56:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:57:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:58:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	10:59:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:00:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:01:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:02:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:03:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:04:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:05:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:06:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:07:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:08:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:09:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:10:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:11:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:12:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:13:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:14:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:15:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:16:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:17:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:18:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:19:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:20:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:21:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:22:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:23:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:24:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:25:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:26:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:27:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:28:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:29:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:30:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:31:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:32:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:33:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:34:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:35:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:36:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:37:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:38:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:39:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:40:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:41:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:42:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:43:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:44:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:45:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:46:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:47:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:48:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:49:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:50:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:51:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:52:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:53:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:54:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:55:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:56:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:57:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:58:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	11:59:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:00:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:01:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:02:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:03:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:04:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:05:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:06:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:07:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:08:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:09:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:10:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:11:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:12:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:13:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:14:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:15:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:16:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:17:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:18:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:19:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:20:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:21:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:22:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:23:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:24:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:25:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:26:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:27:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:28:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:29:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:30:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:31:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:32:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:33:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:34:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:35:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:36:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:37:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:38:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:39:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:40:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:41:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:42:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:43:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:44:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:45:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:46:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:47:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:48:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:49:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:50:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:51:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:52:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:53:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:54:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:55:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:56:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:57:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:58:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	12:59:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:00:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:01:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:02:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:03:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:04:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:05:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:06:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:07:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:08:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:09:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:10:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:11:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:12:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:13:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:14:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:15:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:16:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:17:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:18:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:19:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:20:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:21:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:22:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:23:00	0.24	0.24	0.24	0.24	0.00
2012/06/15	13:24:00	0.55	0.58	0.55	0.58	14.00
2012/06/18	09:17:00	0.62	0.62	0.61	0.61	30.00
2012/06/18	09:18:00	0.62	0.62	0.61	0.61	0.00
2012/06/18	09:19:00	0.62	0.62	0.61	0.61	0.00
2012/06/18	09:20:00	0.62	0.62	0.61	0.61	0.00
2012/06/18	09:21:00	0.62	0.62	0.61	0.61	0.00
2012/06/18	09:22:00	0.62	0.62	0.61	0.61	0.00
2012/06/18	09:23:00	0.62	0.62	0.61	0.61	0.00
2012/06/18	09:24:00	0.62	0.62	0.61	0.61	0.00
2012/06/18	09:25:00	0.62	0.62	0.61	0.61	0.00
2012/06/18	09:26:00	0.58	0.58	0.58	0.58	20.00
2012/06/18	09:27:00	0.58	0.58	0.58	0.58	0.00
2012/06/18	09:28:00	0.58	0.58	0.58	0.58	0.00
2012/06/18	09:29:00	0.58	0.58	0.58	0.58	0.00
2012/06/18	09:30:00	0.57	0.57	0.57	0.57	10.00
2012/06/18	09:31:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:32:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:33:00	0.57	0.57	0.57	0.57	2.00
2012/06/18	09:34:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:35:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:36:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:37:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:38:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:39:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:40:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:41:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:42:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:43:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:44:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:45:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:46:00	0.57	0.57	0.57	0.57	0.00
2012/06/18	09:47:00	0.52	0.52	0.52	0.52	10.00
2012/06/18	09:48:00	0.52	0.52	0.52	0.52	0.00
2012/06/18	09:49:00	0.52	0.52	0.52	0.52	0.00
2012/06/18	09:50:00	0.52	0.52	0.52	0.52	0.00
2012/06/18	09:51:00	0.52	0.52	0.52	0.52	0.00
2012/06/18	09:52:00	0.52	0.52	0.52	0.52	0.00
2012/06/18	09:53:00	0.52	0.52	0.52	0.52	0.00
2012/06/18	09:54:00	0.50	0.50	0.50	0.50	10.00
2012/06/18	09:55:00	0.50	0.50	0.50	0.50	0.00
2012/06/18	09:56:00	0.50	0.50	0.50	0.50	0.00
2012/06/18	09:57:00	0.50	0.50	0.50	0.50	0.00
2012/06/18	09:58:00	0.51	0.51	0.51	0.51	10.00
2012/06/18	09:59:00	0.53	0.53	0.53	0.53	10.00
2012/06/18	10:00:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:01:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:02:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:03:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:04:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:05:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:06:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:07:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:08:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:09:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:10:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:11:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:12:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:13:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:14:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:15:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:16:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:17:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:18:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:19:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:20:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:21:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:22:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:23:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:24:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:25:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:26:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:27:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:28:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:29:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:30:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:31:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:32:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:33:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:34:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:35:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:36:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:37:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:38:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:39:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:40:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:41:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:42:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:43:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:44:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:45:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:46:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:47:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:48:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:49:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:50:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:51:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:52:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:53:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:54:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:55:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:56:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:57:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:58:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	10:59:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:00:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:01:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:02:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:03:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:04:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:05:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:06:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:07:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:08:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:09:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:10:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:11:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:12:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:13:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:14:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:15:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:16:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:17:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:18:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:19:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:20:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:21:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:22:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:23:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:24:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:25:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:26:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:27:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:28:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:29:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:30:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:31:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:32:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:33:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:34:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:35:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:36:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:37:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:38:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:39:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:40:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:41:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:42:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:43:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:44:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:45:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:46:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:47:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:48:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:49:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:50:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:51:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:52:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:53:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:54:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:55:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:56:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:57:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:58:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	11:59:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	12:00:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	12:01:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	12:02:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	12:03:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	12:04:00	0.53	0.53	0.53	0.53	0.00
2012/06/18	12:05:00	0.53	0.53	0.53	0.53	0.00
